Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Order_Year_Month,Customer_ID,Customer_Name,Customer_Label,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Amount,Payment_Method,Order_Status
O0011,2026-01-26,2026,1,January,26,Monday,2026-01,C022,Alina Shah,Alina Shah (New),Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Net Banking,Cancelled
O0107,2026-01-26,2026,1,January,26,Monday,2026-01,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Cash on Delivery,Delivered
O0069,2026-01-27,2026,1,January,27,Tuesday,2026-01,C028,Inaya Khan,Inaya Khan (Regular),Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,3299,4,13196,Debit Card,Delivered
O0084,2026-01-27,2026,1,January,27,Tuesday,2026-01,C013,Rahul Das,Rahul Das (Regular),Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Credit Card,Delivered
O0026,2026-01-28,2026,1,January,28,Wednesday,2026-01,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,UPI,Delivered
O0086,2026-01-28,2026,1,January,28,Wednesday,2026-01,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,5,7995,Debit Card,Delivered
O0042,2026-01-29,2026,1,January,29,Thursday,2026-01,C012,Aisha Mir,Aisha Mir (Premium),Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Net Banking,Delivered
O0054,2026-01-30,2026,1,January,30,Friday,2026-01,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,2499,3,7497,Credit Card,Cancelled
O0064,2026-01-30,2026,1,January,30,Friday,2026-01,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Credit Card,Cancelled
O0082,2026-01-30,2026,1,January,30,Friday,2026-01,C014,Sana Malik,Sana Malik (New),Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Cash on Delivery,Delivered
O0088,2026-01-30,2026,1,January,30,Friday,2026-01,C022,Alina Shah,Alina Shah (New),Pune,West,New,P008,Sneakers,Clothing,StepUp,2999,2,5998,Debit Card,Cancelled
O0048,2026-02-02,2026,2,February,2,Monday,2026-02,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Debit Card,Cancelled
O0012,2026-02-03,2026,2,February,3,Tuesday,2026-02,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered
O0040,2026-02-03,2026,2,February,3,Tuesday,2026-02,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,Cash on Delivery,Delivered
O0098,2026-02-03,2026,2,February,3,Tuesday,2026-02,C009,Arjun Nair,Arjun Nair (Regular),Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Credit Card,Delivered
O0119,2026-02-03,2026,2,February,3,Tuesday,2026-02,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Debit Card,Delivered
O0023,2026-02-04,2026,2,February,4,Wednesday,2026-02,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,749,3,2247,Debit Card,Delivered
O0058,2026-02-05,2026,2,February,5,Thursday,2026-02,C029,Sameer Qureshi,Sameer Qureshi (New),Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,1199,5,5995,UPI,Cancelled
O0066,2026-02-05,2026,2,February,5,Thursday,2026-02,C004,Ananya Singh,Ananya Singh (Regular),Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Debit Card,Cancelled
O0020,2026-02-06,2026,2,February,6,Friday,2026-02,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Credit Card,Delivered
O0090,2026-02-07,2026,2,February,7,Saturday,2026-02,C022,Alina Shah,Alina Shah (New),Pune,West,New,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Cash on Delivery,Shipped
O0096,2026-02-07,2026,2,February,7,Saturday,2026-02,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Net Banking,Shipped
O0075,2026-02-08,2026,2,February,8,Sunday,2026-02,C027,Harsh Vardhan,Harsh Vardhan (Premium),Noida,North,Premium,P004,Smart Watch,Electronics,FitTech,3299,4,13196,UPI,Delivered
O0093,2026-02-08,2026,2,February,8,Sunday,2026-02,C012,Aisha Mir,Aisha Mir (Premium),Delhi,North,Premium,P016,Atomic Habits,Books,MindReads,599,3,1797,Debit Card,Delivered
O0006,2026-02-09,2026,2,February,9,Monday,2026-02,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P018,Football,Sports,SportZone,799,3,2397,UPI,Delivered
O0039,2026-02-09,2026,2,February,9,Monday,2026-02,C016,Hiba Sheikh,Hiba Sheikh (Premium),Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,Credit Card,Delivered
O0007,2026-02-10,2026,2,February,10,Tuesday,2026-02,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P003,Wireless Mouse,Electronics,TechGear,899,3,2697,UPI,Delivered
O0114,2026-02-12,2026,2,February,12,Thursday,2026-02,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P011,Air Fryer,Home & Kitchen,CookSmart,4999,5,24995,Credit Card,Delivered
O0033,2026-02-13,2026,2,February,13,Friday,2026-02,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered
O0047,2026-02-15,2026,2,February,15,Sunday,2026-02,C005,Kabir Ali,Kabir Ali (New),Lucknow,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Credit Card,Cancelled
O0015,2026-02-16,2026,2,February,16,Monday,2026-02,C027,Harsh Vardhan,Harsh Vardhan (Premium),Noida,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Credit Card,Cancelled
O0078,2026-02-17,2026,2,February,17,Tuesday,2026-02,C029,Sameer Qureshi,Sameer Qureshi (New),Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Cash on Delivery,Delivered
O0050,2026-02-18,2026,2,February,18,Wednesday,2026-02,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,1,1499,Credit Card,Shipped
O0001,2026-02-19,2026,2,February,19,Thursday,2026-02,C027,Harsh Vardhan,Harsh Vardhan (Premium),Noida,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Credit Card,Delivered
O0116,2026-02-19,2026,2,February,19,Thursday,2026-02,C025,Reyansh Jain,Reyansh Jain (New),Kolkata,East,New,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,1,1499,Net Banking,Delivered
O0014,2026-02-20,2026,2,February,20,Friday,2026-02,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,UPI,Shipped
O0024,2026-02-20,2026,2,February,20,Friday,2026-02,C030,Riya Kapoor,Riya Kapoor (Premium),Bengaluru,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Net Banking,Delivered
O0092,2026-02-21,2026,2,February,21,Saturday,2026-02,C027,Harsh Vardhan,Harsh Vardhan (Premium),Noida,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Debit Card,Delivered
O0117,2026-02-21,2026,2,February,21,Saturday,2026-02,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Cash on Delivery,Shipped
O0067,2026-02-22,2026,2,February,22,Sunday,2026-02,C005,Kabir Ali,Kabir Ali (New),Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Debit Card,Delivered
O0068,2026-02-22,2026,2,February,22,Sunday,2026-02,C018,Manya Rao,Manya Rao (Regular),Bengaluru,South,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,2,2998,Debit Card,Delivered
O0055,2026-02-23,2026,2,February,23,Monday,2026-02,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Net Banking,Cancelled
O0083,2026-02-24,2026,2,February,24,Tuesday,2026-02,C009,Arjun Nair,Arjun Nair (Regular),Kochi,South,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Debit Card,Shipped
O0097,2026-02-24,2026,2,February,24,Tuesday,2026-02,C004,Ananya Singh,Ananya Singh (Regular),Jammu,North,Regular,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Cash on Delivery,Delivered
O0101,2026-02-24,2026,2,February,24,Tuesday,2026-02,C009,Arjun Nair,Arjun Nair (Regular),Kochi,South,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,1,699,UPI,Delivered
O0016,2026-02-25,2026,2,February,25,Wednesday,2026-02,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P008,Sneakers,Clothing,StepUp,2999,3,8997,UPI,Delivered
O0063,2026-02-25,2026,2,February,25,Wednesday,2026-02,C030,Riya Kapoor,Riya Kapoor (Premium),Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Credit Card,Shipped
O0095,2026-02-25,2026,2,February,25,Wednesday,2026-02,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Cash on Delivery,Delivered
O0003,2026-02-26,2026,2,February,26,Thursday,2026-02,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,1,3299,Cash on Delivery,Delivered
O0017,2026-02-27,2026,2,February,27,Friday,2026-02,C023,Nikhil Sood,Nikhil Sood (Premium),Chandigarh,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Delivered
O0044,2026-02-27,2026,2,February,27,Friday,2026-02,C016,Hiba Sheikh,Hiba Sheikh (Premium),Srinagar,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,4,9996,Credit Card,Delivered
O0049,2026-02-27,2026,2,February,27,Friday,2026-02,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Cash on Delivery,Delivered
O0035,2026-03-01,2026,3,March,1,Sunday,2026-03,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Net Banking,Cancelled
O0085,2026-03-01,2026,3,March,1,Sunday,2026-03,C028,Inaya Khan,Inaya Khan (Regular),Mumbai,West,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Cash on Delivery,Delivered
O0057,2026-03-02,2026,3,March,2,Monday,2026-03,C027,Harsh Vardhan,Harsh Vardhan (Premium),Noida,North,Premium,P008,Sneakers,Clothing,StepUp,2999,2,5998,Cash on Delivery,Delivered
O0061,2026-03-02,2026,3,March,2,Monday,2026-03,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P002,Mechanical Keyboard,Electronics,KeyPro,2499,2,4998,Credit Card,Delivered
O0073,2026-03-02,2026,3,March,2,Monday,2026-03,C029,Sameer Qureshi,Sameer Qureshi (New),Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Debit Card,Cancelled
O0103,2026-03-03,2026,3,March,3,Tuesday,2026-03,C022,Alina Shah,Alina Shah (New),Pune,West,New,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Debit Card,Delivered
O0004,2026-03-04,2026,3,March,4,Wednesday,2026-03,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Net Banking,Delivered
O0010,2026-03-05,2026,3,March,5,Thursday,2026-03,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Debit Card,Shipped
O0019,2026-03-05,2026,3,March,5,Thursday,2026-03,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P017,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered
O0030,2026-03-05,2026,3,March,5,Thursday,2026-03,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,3,4497,Net Banking,Shipped
O0059,2026-03-09,2026,3,March,9,Monday,2026-03,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Net Banking,Delivered
O0118,2026-03-09,2026,3,March,9,Monday,2026-03,C025,Reyansh Jain,Reyansh Jain (New),Kolkata,East,New,P016,Atomic Habits,Books,MindReads,599,4,2396,Credit Card,Delivered
O0052,2026-03-10,2026,3,March,10,Tuesday,2026-03,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,5,14995,Debit Card,Delivered
O0009,2026-03-13,2026,3,March,13,Friday,2026-03,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,2,6998,UPI,Cancelled
O0036,2026-03-14,2026,3,March,14,Saturday,2026-03,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P016,Atomic Habits,Books,MindReads,599,5,2995,Debit Card,Shipped
O0065,2026-03-14,2026,3,March,14,Saturday,2026-03,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Cash on Delivery,Delivered
O0089,2026-03-14,2026,3,March,14,Saturday,2026-03,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P008,Sneakers,Clothing,StepUp,2999,4,11996,Credit Card,Shipped
O0111,2026-03-14,2026,3,March,14,Saturday,2026-03,C001,Aarav Sharma,Aarav Sharma (Premium),Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Debit Card,Delivered
O0060,2026-03-15,2026,3,March,15,Sunday,2026-03,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Debit Card,Cancelled
O0109,2026-03-17,2026,3,March,17,Tuesday,2026-03,C023,Nikhil Sood,Nikhil Sood (Premium),Chandigarh,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,5,12495,Debit Card,Cancelled
O0070,2026-03-18,2026,3,March,18,Wednesday,2026-03,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P004,Smart Watch,Electronics,FitTech,3299,2,6598,Net Banking,Delivered
O0053,2026-03-19,2026,3,March,19,Thursday,2026-03,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Credit Card,Cancelled
O0074,2026-03-19,2026,3,March,19,Thursday,2026-03,C014,Sana Malik,Sana Malik (New),Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Credit Card,Delivered
O0100,2026-03-19,2026,3,March,19,Thursday,2026-03,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P008,Sneakers,Clothing,StepUp,2999,4,11996,Credit Card,Delivered
O0072,2026-03-21,2026,3,March,21,Saturday,2026-03,C029,Sameer Qureshi,Sameer Qureshi (New),Jammu,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Net Banking,Cancelled
O0013,2026-03-22,2026,3,March,22,Sunday,2026-03,C005,Kabir Ali,Kabir Ali (New),Lucknow,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,3,10497,Cash on Delivery,Delivered
O0113,2026-03-22,2026,3,March,22,Sunday,2026-03,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P014,Data Science Handbook,Books,DataPress,899,1,899,UPI,Delivered
O0031,2026-03-24,2026,3,March,24,Tuesday,2026-03,C013,Rahul Das,Rahul Das (Regular),Kolkata,East,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,Debit Card,Delivered
O0062,2026-03-25,2026,3,March,25,Wednesday,2026-03,C009,Arjun Nair,Arjun Nair (Regular),Kochi,South,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,UPI,Delivered
O0008,2026-03-27,2026,3,March,27,Friday,2026-03,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P005,Power Bank,Electronics,VoltPlus,1199,4,4796,Debit Card,Delivered
O0077,2026-03-27,2026,3,March,27,Friday,2026-03,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Net Banking,Delivered
O0087,2026-03-28,2026,3,March,28,Saturday,2026-03,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P004,Smart Watch,Electronics,FitTech,3299,5,16495,Cash on Delivery,Cancelled
O0005,2026-03-29,2026,3,March,29,Sunday,2026-03,C025,Reyansh Jain,Reyansh Jain (New),Kolkata,East,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,5,17495,Credit Card,Delivered
O0080,2026-03-29,2026,3,March,29,Sunday,2026-03,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,5,12495,Debit Card,Delivered
O0037,2026-03-30,2026,3,March,30,Monday,2026-03,C028,Inaya Khan,Inaya Khan (Regular),Mumbai,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Credit Card,Delivered
